fecha,almacenamiento_hm3
1991-01-01,1505.8
1991-01-02,1505.8
1991-01-03,1498.0
1991-01-04,1498.0
1991-01-05,1498.0
1991-01-06,1490.51
1991-01-07,1490.51
1991-01-08,1490.51
1991-01-09,1490.51
1991-01-10,1483.01
1991-01-11,1483.01
1991-01-12,1483.01
1991-01-13,1483.01
1991-01-14,1475.52
1991-01-15,1475.52
1991-01-16,1475.52
1991-01-17,1475.52
1991-01-18,1468.02
1991-01-19,1468.02
1991-01-20,1468.02
1991-01-21,1460.53
1991-01-22,1460.53
1991-01-23,1460.53
1991-01-24,1453.03
1991-01-25,1453.03
1991-01-26,1453.03
1991-01-27,1445.54
1991-01-28,1445.54
1991-01-29,1445.54
1991-01-30,1438.04
1991-01-31,1438.04
1991-02-01,1438.04
1991-02-02,1430.55
1991-02-03,1430.55
1991-02-04,1430.55
1991-02-05,1423.05
1991-02-06,1423.05
1991-02-07,1423.05
1991-02-08,1415.56
1991-02-09,1415.56
1991-02-10,1415.56
1991-02-11,1408.06
1991-02-12,1408.06
1991-02-13,1408.06
1991-02-14,1400.57
1991-02-15,1400.57
1991-02-16,1400.57
1991-02-17,1400.57
1991-02-18,1393.08
1991-02-19,1393.08
1991-02-20,1393.08
1991-02-21,1385.58
1991-02-22,1385.58
1991-02-23,1378.09
1991-02-24,1378.09
1991-02-25,1370.59
1991-02-26,1363.1
1991-02-27,1355.6
1991-02-28,1348.11
1991-03-01,1340.6
1991-03-02,1340.6
1991-03-03,1333.09
1991-03-04,1325.58
1991-03-05,1318.06
1991-03-06,1318.06
1991-03-07,1310.55
1991-03-08,1310.55
1991-03-09,1303.04
1991-03-10,1295.53
1991-03-11,1288.02
1991-03-12,1280.51
1991-03-13,1273.0
1991-03-14,1273.0
1991-03-15,1265.7
1991-03-16,1265.7
1991-03-17,1258.4
1991-03-18,1258.4
1991-03-19,1251.1
1991-03-20,1243.8
1991-03-21,1243.8
1991-03-22,1236.5
1991-03-23,1229.2
1991-03-24,1229.2
1991-03-25,1221.9
1991-03-26,1214.6
1991-03-27,1207.3
1991-03-28,1207.3
1991-03-29,1200.0
1991-03-30,1192.8
1991-03-31,1192.8
1991-04-01,1185.6
1991-04-02,1178.4
1991-04-03,1171.2
1991-04-04,1164.0
1991-04-05,1156.8
1991-04-06,1156.8
1991-04-07,1149.6
1991-04-08,1149.6
1991-04-09,1142.4
1991-04-10,1135.2
1991-04-11,1128.0
1991-04-12,1121.3
1991-04-13,1121.3
1991-04-14,1114.6
1991-04-15,1107.9
1991-04-16,1101.2
1991-04-17,1094.5
1991-04-18,1094.5
1991-04-19,1087.8
1991-04-20,1081.1
1991-04-21,1074.4
1991-04-22,1067.7
1991-04-23,1067.7
1991-04-24,1061.0
1991-04-25,1054.38
1991-04-26,1047.76
1991-04-27,1047.76
1991-04-28,1041.14
1991-04-29,1034.52
1991-04-30,1027.9
1991-05-01,1027.9
1991-05-02,1021.28
1991-05-03,1014.66
1991-05-04,1008.04
1991-05-05,1008.04
1991-05-06,1001.42
1991-05-07,994.801
1991-05-08,988.221
1991-05-09,981.641
1991-05-10,975.061
1991-05-11,975.061
1991-05-12,968.481
1991-05-13,961.901
1991-05-14,955.32
1991-05-15,955.32
1991-05-16,948.74
1991-05-17,942.16
1991-05-18,942.16
1991-05-19,935.58
1991-05-20,935.58
1991-05-21,929.0
1991-05-22,922.4
1991-05-23,915.8
1991-05-24,909.2
1991-05-25,902.6
1991-05-26,902.6
1991-05-27,896.0
1991-05-28,889.4
1991-05-29,882.8
1991-05-30,876.2
1991-05-31,869.6
1991-06-01,889.4000000000001
1991-06-02,890.5
1991-06-03,892.8833333333333
1991-06-04,896.7638888888888
1991-06-05,897.9912037037037
