fecha,PRECIP_mm,EVAP_mm,TMAX_c,TMIN_c,almacenamiento_hm3
01/01/1991,0,3.7,24.5,11,1505.8
02/01/1991,0,3.1,26.5,11,1505.8
03/01/1991,0,3.4,26.5,11,1498
04/01/1991,0,2.9,24,11.5,1498
05/01/1991,0,3.3,25,11.5,1498
06/01/1991,0,4.25,25,10,1490.51
07/01/1991,0,2.7,26,10,1490.51
08/01/1991,0,3.65,25.5,11,1490.51
09/01/1991,0,3.2,24.5,11,1490.51
10/01/1991,0,3.5,25,10,1483.01
11/01/1991,0,2.8,24.5,8,1483.01
12/01/1991,0,3.5,24,8,1483.01
13/01/1991,0,4.6,25,9,1483.01
14/01/1991,0,2.85,21.5,9,1475.52
15/01/1991,0,3.1,25.5,8,1475.52
16/01/1991,0,4.8,25,8,1475.52
17/01/1991,0,3.5,24.5,9.5,1475.52
18/01/1991,0,3.6,26,9,1468.02
19/01/1991,0,2.3,24.5,7,1468.02
20/01/1991,0,4.3,26.5,9,1468.02
21/01/1991,0,3.95,27,10,1460.53
22/01/1991,0,2.4,28,10.5,1460.53
23/01/1991,0,3.55,27.5,10.5,1460.53
24/01/1991,1,3.75,21.5,11,1453.03
25/01/1991,0,1.5,25,9,1453.03
26/01/1991,0,2.1,26.5,9.5,1453.03
27/01/1991,0,3.4,27.5,11.5,1445.54
28/01/1991,0,3.9,25,11.5,1445.54
29/01/1991,0,3.9,27.5,11.5,1445.54
30/01/1991,0,3.45,27.5,10,1438.04
31/01/1991,0,3.8,27,10,1438.04
01/02/1991,0,4.2,25.5,10,1438.04
02/02/1991,0,4.7,26,10.5,1430.55
03/02/1991,0,3.9,25.5,13,1430.55
04/02/1991,0,2.9,27.5,10.5,1430.55
05/02/1991,0,3.2,22.5,10.5,1423.05
06/02/1991,0,3.25,27,10.5,1423.05
07/02/1991,0,4.5,20.5,11.5,1423.05
08/02/1991,0,2.1,24.5,10.5,1415.56
09/02/1991,0,1.9,26.5,11,1415.56
10/02/1991,0,3.3,25,11.5,1415.56
11/02/1991,0,2.3,29.5,13,1408.06
12/02/1991,0,3.7,27.5,11,1408.06
13/02/1991,0,3.2,30,11,1408.06
14/02/1991,0,3.5,29.5,12,1400.57
15/02/1991,0,3.65,29,12,1400.57
16/02/1991,0,4.3,30,12.5,1400.57
17/02/1991,0,5.9,29,11.5,1400.57
18/02/1991,0,4.4,29.5,10,1393.08
19/02/1991,0,5.1,28.5,10.5,1393.08
20/02/1991,0,4.3,30,11,1393.08
21/02/1991,0,4.65,29.5,11,1385.58
22/02/1991,0,4.7,29.5,10.5,1385.58
23/02/1991,0,5.9,27.5,10.5,1378.09
24/02/1991,0,3.5,30,10.5,1378.09
25/02/1991,0,4.4,30,11,1370.59
26/02/1991,0,3.45,31,12,1363.1
27/02/1991,0,4.1,30,12,1355.6
28/02/1991,0,5.1,31,12,1348.11
01/03/1991,0,5.6,30,11,1340.6
02/03/1991,0,4.1,29,10,1340.6
03/03/1991,0,2.55,29,9.5,1333.09
04/03/1991,0,5.94,28,9.5,1325.58
05/03/1991,0,5.84,31.5,10,1318.06
06/03/1991,0,6.05,31,10.5,1318.06
07/03/1991,0,5.69,22.5,12,1310.55
08/03/1991,0,5.22,30,11.5,1310.55
09/03/1991,0,3.3,31,12,1303.04
10/03/1991,0,4.53,27.5,12.5,1295.53
11/03/1991,0,5.1,31.5,13.5,1288.02
12/03/1991,0,5.64,31.5,12.5,1280.51
13/03/1991,0,5.87,32.5,12.5,1273
14/03/1991,0,5.49,32.5,12.5,1273
15/03/1991,0,6.92,32.5,13.5,1265.7
16/03/1991,0,5.78,32.5,12.5,1265.7
17/03/1991,0,5.22,30.5,12.5,1258.4
18/03/1991,0,6.06,32,13.5,1258.4
19/03/1991,0,7.2,33,14.5,1251.1
20/03/1991,0,7.03,32,13.5,1243.8
21/03/1991,0,5.88,29.5,12,1243.8
22/03/1991,0,6.12,22,12,1236.5
23/03/1991,0,5.89,30,12,1229.2
24/03/1991,0,5.77,30.5,12.5,1229.2
25/03/1991,0,5.29,31,13,1221.9
26/03/1991,0,6.28,31.5,13,1214.6
27/03/1991,0,5.31,31.5,14,1207.3
28/03/1991,0,6.3,32,12,1207.3
29/03/1991,0,5.2,31.5,12,1200
30/03/1991,0,5.35,31.5,13,1192.8
31/03/1991,0,8.46,26,11.5,1192.8
01/04/1991,0,4.82,27,12,1185.6
02/04/1991,0,6.62,32,14.5,1178.4
03/04/1991,0,6.24,32.5,14,1171.2
04/04/1991,0,6.77,32,13,1164
05/04/1991,0,5.56,31,14.5,1156.8
06/04/1991,0,6.61,31.5,13,1156.8
07/04/1991,0,6.21,31,13,1149.6
08/04/1991,0,5.37,30,11.5,1149.6
09/04/1991,0,4.61,30.5,13.5,1142.4
10/04/1991,0,7.15,31,13,1135.2
11/04/1991,0,3.9,28,14,1128
12/04/1991,0,3.01,31.5,14.5,1121.3
13/04/1991,0,5.1,25.5,17,1121.3
14/04/1991,0,7.93,32,10.5,1114.6
15/04/1991,0,5.42,30.5,16,1107.9
16/04/1991,0,7.01,25.5,15,1101.2
17/04/1991,0,6.48,31.5,15.5,1094.5
18/04/1991,0,5.34,31,16,1094.5
19/04/1991,0,6.75,31,15.5,1087.8
20/04/1991,0,5.9,31.5,15.5,1081.1
21/04/1991,0,6.86,32.5,15.5,1074.4
22/04/1991,0,6.56,32,16.5,1067.7
23/04/1991,0,5.66,33.5,16.5,1067.7
24/04/1991,0,6.28,32.5,15.5,1061
25/04/1991,0,4.66,32.5,15,1054.38
26/04/1991,0,5.55,30,16.5,1047.76
27/04/1991,0,6.3,32.5,16,1047.76
28/04/1991,0,7.22,32,16,1041.14
29/04/1991,0,7.57,31,14.5,1034.52
30/04/1991,0,5.93,31.5,14.5,1027.9
01/05/1991,0,6.25,32,15.5,1027.9
02/05/1991,0,6.05,32.5,16,1021.28
03/05/1991,0,5.13,29.5,16.5,1014.66
04/05/1991,0,6.62,32.5,16.5,1008.04
05/05/1991,0,5.1,33,17,1008.04
06/05/1991,0,6.14,31,19,1001.42
07/05/1991,0,6.8,30.5,16.5,994.801
08/05/1991,0,5.16,31,17,988.221
09/05/1991,0,5.37,29.5,17,981.641
10/05/1991,0,6.07,31,17.5,975.061
11/05/1991,0,5.4,32,16.5,975.061
12/05/1991,0,5.43,31,17.5,968.481
13/05/1991,0,6.41,32.5,17.5,961.901
14/05/1991,0,6.58,32.5,18,955.32
15/05/1991,0,6.79,31,15.5,955.32
16/05/1991,0,7.07,31.5,15.5,948.74
17/05/1991,0,6.37,32.5,15,942.16
18/05/1991,0,5.5,32.5,15,942.16
19/05/1991,0,6.82,32,15.5,935.58
20/05/1991,0,6.56,34,16,935.58
21/05/1991,0,5.81,33.5,16,929
22/05/1991,0,6.83,34.5,16,922.4
23/05/1991,0,7.4,33.5,16,915.8
24/05/1991,0,7.78,34,17.5,909.2
25/05/1991,0,5.69,35,18,902.6
26/05/1991,0,5.39,34.5,17.5,902.6
27/05/1991,0,7.61,34.5,17.5,896
28/05/1991,0,7.62,34,17.5,889.4
29/05/1991,0,7.2,33.5,17,882.8
30/05/1991,0,9.45,34,17.5,876.2
31/05/1991,0,8.11,33.5,16,869.6
01/06/1991,0,6.84,35,17.5,889.4000000000001
02/06/1991,0,6.47,35,16.5,890.5
03/06/1991,0,6.81,34.5,17.5,892.8833333333333
04/06/1991,0,6.1,35,15.5,896.7638888888888
05/06/1991,0,6.67,35.5,15,897.9912037037037
06/06/1991,0,7.03,35,19,899.2397377
07/06/1991,0.8,6.75,34.5,19.5,900.2991383744856
08/06/1991,1.5,6.05,34,17,900.8883466
09/06/1991,0,5.07,31,17,901.3712037751485
10/06/1991,3.3,5.9,29,16.5,901.7264481286198
11/06/1991,0,5.74,30,15.5,901.9643330876423
12/06/1991,0,5.81,32,17,902.1436642
13/06/1991,0,5.93,28.5,18,902.2724075635829
14/06/1991,0.5,4.57,29,17,902.3634008027434
15/06/1991,0.4,3.31,28,17,902.4299120885935
16/06/1991,53,4.76,30,16.5,902.4776201
17/06/1991,8.8,3.68,28,16.5,902.5118221611929
18/06/1991,20.6,4.45,29.5,16.5,902.5365590542677
19/06/1991,0.6,5.27,27.5,16,902.5543335485468
20/06/1991,0,6.04,30,17,902.5671191273345
21/06/1991,14.4,5.51,31,18,902.5763352883582
22/06/1991,16,5.2,30.5,14.5,902.5829646607066
23/06/1991,15.4,6.47,29.5,15,902.5877365127332
24/06/1991,0.01,5.47,25.5,16.5,902.5911727436329
25/06/1991,4.9,3.16,27,17.5,902.5936456528453
26/06/1991,52,4.34,26,17,902.5954258182019
27/06/1991,1.4,3.41,29,17,902.5967073691132
28/06/1991,20.3,5.97,29,17.5,902.5976298066934
29/06/1991,46.2,5.23,28,14,902.5982938323347
30/06/1991,41.4,3.33,27.5,16.5,902.5987718346902
01/07/1991,1.9,2.9,26,16,896
02/07/1991,5.5,2.5,21.5,16.5,902.6
03/07/1991,55.9,4.57,24,16,909.2
04/07/1991,39.7,3.2,25,16,922.4
05/07/1991,2.3,3.15,26.5,16.5,935.58
06/07/1991,11.9,1.2,24.5,17,955.32
07/07/1991,9.6,3.09,25,16.5,975.061
08/07/1991,0.3,1.65,22,16.5,1001.42
09/07/1991,53.7,1.35,22.5,16.5,1021.28
10/07/1991,2.4,4.28,25.5,16.5,1047.76
11/07/1991,1.4,2.74,25,16,1081.1
12/07/1991,0,4.23,23,15.5,1114.6
13/07/1991,1.1,4.19,24.5,16.5,1142.4
14/07/1991,19.1,6.91,28,17,1185.6
15/07/1991,19.9,5.19,35,16,1229.2
16/07/1991,0.01,2.93,24.5,15.5,1280.51
17/07/1991,0,4.6,28,15.5,1333.09
18/07/1991,0,3.5,26.5,15.5,1385.58
19/07/1991,0.2,4.76,28,16.5,1430.55
20/07/1991,22.9,1.53,27.5,17.5,1460.53
21/07/1991,94,5.69,24,16,1483.01
22/07/1991,11.1,2.67,25,15.5,1529.2
23/07/1991,21.9,3.32,26,15.5,1584.02
24/07/1991,0.6,3.07,25,15,1632.1
25/07/1991,44.7,10.87,27,15.5,1672.17
26/07/1991,3.5,3.81,26.5,15.5,1720.26
27/07/1991,0,2.75,25.5,16,1768.92
28/07/1991,0.4,5.76,28.5,15.5,1801.55
29/07/1991,3.7,3.65,27.5,11.5,1850.49
30/07/1991,6.3,3.21,27.5,10,1899.43
31/07/1991,0,4.27,26.5,15,1940.22
01/08/1991,0,4.29,26.5,16.5,1989.7
02/08/1991,0,4.53,28.5,17,2015.8
03/08/1991,0,3.76,27.5,17,2041.9
04/08/1991,0.4,3.27,28,16,2076.67
05/08/1991,39.8,4.99,27.5,16.5,2102.67
06/08/1991,16.5,4.73,26.5,17,2146.01
07/08/1991,26.8,5.4,25,14,2198.9
08/08/1991,0.4,3.73,29.5,15.5,2251.96
09/08/1991,0,3.42,26,16,2305.03
10/08/1991,0,3.03,27.5,16.5,2331.56
11/08/1991,0.3,3.62,27,16,2349.25
12/08/1991,14.3,4.56,25,15.5,2393.47
13/08/1991,0,3.67,26.5,15,2411.16
14/08/1991,0,3.23,26,16,2420
15/08/1991,0,2.82,33.5,17,2429.2
16/08/1991,3.4,4.48,29.5,16.5,2447.6
17/08/1991,0,3,26.5,15,2475.2
18/08/1991,0,4.49,28.5,16,2484.4
19/08/1991,0,4,28.5,16,2493.6
20/08/1991,0.01,4.1,28,17,2493.6
21/08/1991,12.2,4.37,27.5,16.5,2502.8
22/08/1991,0,4.35,27.5,15,2502.8
23/08/1991,0,3.72,27.5,16,2512
24/08/1991,0,4.39,27,17.5,2512
25/08/1991,6.9,4.1,27,17.5,2521.17
26/08/1991,10,3.74,27.5,16.5,2530.35
27/08/1991,4.1,3.47,25.5,15.5,2548.69
28/08/1991,0,3.76,26,16.5,2548.69
29/08/1991,9.8,4.29,27,16.5,2567.04
30/08/1991,0,3.89,27,15.5,2567.04
31/08/1991,0,7.54,27,17.5,2576.21
01/09/1991,66.7,6.84,26.5,15,2576.21
02/09/1991,0,2.68,22,15,2585.38
03/09/1991,0,2.15,23.5,14.5,2585.38
04/09/1991,0,1.71,23.5,15,2585.38
05/09/1991,0,2.62,21,15,2594.55
06/09/1991,0,3.84,22,16,2603.72
07/09/1991,0,3.26,20.5,16,2603.72
08/09/1991,0,4.47,24,14,2632.01
09/09/1991,0.01,4.26,26.5,14.5,2669.72
10/09/1991,16.8,4.31,22,14.5,2688.57
11/09/1991,4.3,2.27,22.5,15.5,2698
12/09/1991,0,2.87,23.5,14.5,2707.4
13/09/1991,0,3.62,20,14.5,2707.4
14/09/1991,0,3.57,26,14.5,2707.4
15/09/1991,0,3.89,25.5,15,2716.8
16/09/1991,0,4.6,25,11.5,2735.6
17/09/1991,0,3.14,23.5,11.5,2754.4
18/09/1991,0,2.81,22,12,2763.8
