clave_sih,fecha,nombre_oficial,nombre_comun,estado,municipio,almacenamiento_hm3,elevacion_msnm,uso,namo_almacenamiento_hm3,namo_elevacion_msnm,porcentaje_llenado,bordo_libre_m,name_almacenamiento_hm3,name_elevacion_msnm
LDCJL,01/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1505.8,92.91,AP,8126.41,98,0.185297,0,9279.71,99
LDCJL,02/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1505.8,92.91,AP,8126.41,98,0.185297,0,9279.71,99
LDCJL,03/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1498,92.9,AP,8126.41,98,0.184337,0,9279.71,99
LDCJL,04/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1498,92.9,AP,8126.41,98,0.184337,0,9279.71,99
LDCJL,05/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1498,92.9,AP,8126.41,98,0.184337,0,9279.71,99
LDCJL,06/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98,0.183416,0,9279.71,99
LDCJL,07/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98,0.183416,0,9279.71,99
LDCJL,08/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98,0.183416,0,9279.71,99
LDCJL,09/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98,0.183416,0,9279.71,99
LDCJL,10/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98,0.182493,0,9279.71,99
LDCJL,11/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98,0.182493,0,9279.71,99
LDCJL,12/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98,0.182493,0,9279.71,99
LDCJL,13/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98,0.182493,0,9279.71,99
LDCJL,14/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98,0.181571,0,9279.71,99
LDCJL,15/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98,0.181571,0,9279.71,99
LDCJL,16/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98,0.181571,0,9279.71,99
LDCJL,17/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98,0.181571,0,9279.71,99
LDCJL,18/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1468.02,92.86,AP,8126.41,98,0.180648,0,9279.71,99
LDCJL,19/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1468.02,92.86,AP,8126.41,98,0.180648,0,9279.71,99
LDCJL,20/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1468.02,92.86,AP,8126.41,98,0.180648,0,9279.71,99
LDCJL,21/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1460.53,92.85,AP,8126.41,98,0.179726,0,9279.71,99
LDCJL,22/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1460.53,92.85,AP,8126.41,98,0.179726,0,9279.71,99
LDCJL,23/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1460.53,92.85,AP,8126.41,98,0.179726,0,9279.71,99
LDCJL,24/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1453.03,92.84,AP,8126.41,98,0.178803,0,9279.71,99
LDCJL,25/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1453.03,92.84,AP,8126.41,98,0.178803,0,9279.71,99
LDCJL,26/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1453.03,92.84,AP,8126.41,98,0.178803,0,9279.71,99
LDCJL,27/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1445.54,92.83,AP,8126.41,98,0.177882,0,9279.71,99
LDCJL,28/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1445.54,92.83,AP,8126.41,98,0.177882,0,9279.71,99
LDCJL,29/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1445.54,92.83,AP,8126.41,98,0.177882,0,9279.71,99
LDCJL,30/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1438.04,92.82,AP,8126.41,98,0.176959,0,9279.71,99
LDCJL,31/01/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1438.04,92.82,AP,8126.41,98,0.176959,0,9279.71,99
LDCJL,01/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1438.04,92.82,AP,8126.41,98,0.176959,0,9279.71,99
LDCJL,02/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1430.55,92.81,AP,8126.41,98,0.176037,0,9279.71,99
LDCJL,03/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1430.55,92.81,AP,8126.41,98,0.176037,0,9279.71,99
LDCJL,04/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1430.55,92.81,AP,8126.41,98,0.176037,0,9279.71,99
LDCJL,05/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1423.05,92.8,AP,8126.41,98,0.175114,0,9279.71,99
LDCJL,06/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1423.05,92.8,AP,8126.41,98,0.175114,0,9279.71,99
LDCJL,07/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1423.05,92.8,AP,8126.41,98,0.175114,0,9279.71,99
LDCJL,08/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1415.56,92.79,AP,8126.41,98,0.174193,0,9279.71,99
LDCJL,09/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1415.56,92.79,AP,8126.41,98,0.174193,0,9279.71,99
LDCJL,10/02/1991,Lago de Chapala,Chapala,Jalisco,Chapala,1415.56,92.79,AP,8126.41,98,0.174193,0,9279.71,99
