FECHA,PRECIP_mm,EVAP_mm,TMAX_c,TMIN_c
01/04/1934,0,NULO,NULO,NULO
02/04/1934,0,5.9,NULO,NULO
03/04/1934,0,6.2,NULO,NULO
04/04/1934,0,8.5,NULO,NULO
05/04/1934,0,10,27,NULO
06/04/1934,0,2.4,28,15
07/04/1934,0,6.2,29,15.5
08/04/1934,0,4.4,25,16
09/04/1934,0,6.2,28,15.5
10/04/1934,0,8.1,30,16
11/04/1934,0,4.7,29.5,17.5
12/04/1934,0,7.1,29,17
13/04/1934,0,9.5,25,17
14/04/1934,0,7.8,23.5,14
15/04/1934,0,7.3,25,13.5
16/04/1934,0,6.6,25.5,15
17/04/1934,0,6.8,27.5,13
18/04/1934,0,6.9,26.5,14
19/04/1934,0,7.7,28,15
20/04/1934,0,2.2,28.5,16
21/04/1934,0,7,28,17
22/04/1934,0,5.9,28,17
23/04/1934,0,7.9,28,16.5
24/04/1934,0,7.3,29,15
25/04/1934,0,6.4,27.5,17
26/04/1934,0,8.1,27.5,16
27/04/1934,0,8.3,26,15
28/04/1934,0,7.6,27,16
29/04/1934,0,6.3,28,17
30/04/1934,0,6.5,28,16.5
01/05/1934,0,5.4,27.5,16.5
02/05/1934,0,5.6,29,15
03/05/1934,0,6.1,28,15
04/05/1934,0,7.4,29,15.5
05/05/1934,6,11.6,30,17.5
06/05/1934,0,7,30,18.5
07/05/1934,0,5.1,26,21
08/05/1934,0,3.9,27,19.5
09/05/1934,0,0.9,28,17
10/05/1934,0,1.5,28,15
11/05/1934,0,6.8,27,17
12/05/1934,0,5.8,28.5,14.5
13/05/1934,0,6.8,29.5,15.5
14/05/1934,0,6.5,29.5,16
15/05/1934,0,5.7,27,14.5
16/05/1934,0,6.8,26.5,16.5
17/05/1934,0,6,27.5,16
18/05/1934,0,5.4,29,16.5
19/05/1934,0,7.2,31.5,16
20/05/1934,0,6.8,33,18
21/05/1934,0,5.2,31,17.5
22/05/1934,0,6.6,31,16.5
23/05/1934,0,7,30.5,18.5
24/05/1934,0,4.7,30.5,18.5
25/05/1934,4,3.8,31,20
26/05/1934,18,2.46,29,17
27/05/1934,1,4,26,16
28/05/1934,3,7,29,17.5
29/05/1934,0,5.4,27,18
30/05/1934,0,5.1,28,19
31/05/1934,4.8,5.6,29,19
01/06/1934,0,6.3,30,16.5
02/06/1934,0,6.8,30,19
03/06/1934,0,8.6,32,19
04/06/1934,0,6.8,29,19
05/06/1934,0,6.2,32.5,19
06/06/1934,7,8,32.5,19
07/06/1934,0,NULO,29.5,19
08/06/1934,0,6.8,32,18.5
09/06/1934,0,6.3,30,20
10/06/1934,0,7.4,31.5,19.5
11/06/1934,0,7.2,32,19.5
12/06/1934,0,5.9,30.5,20
13/06/1934,0,7.4,31.5,19
14/06/1934,1.3,6.3,30,18
15/06/1934,0,8.1,27.5,18
16/06/1934,0,8.8,28,17.5
17/06/1934,0,7.5,31,17
18/06/1934,0,7.2,30,20
